Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 16:42:38.870563,nan,nan,770,463,1
2025-07-05 16:42:43.920111,nan,nan,770,364,1
2025-07-05 16:42:48.951134,nan,nan,771,313,1
2025-07-05 16:42:53.984020,nan,nan,769,315,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 16:43:57.304712,nan,nan,768,325,1
2025-07-05 16:44:13.132669,nan,nan,65535,65535,23
2025-07-05 16:44:18.210980,nan,nan,65535,65535,23
2025-07-05 16:44:23.266179,nan,nan,65535,65535,23
2025-07-05 16:44:28.297422,nan,nan,65535,65535,23
2025-07-05 16:44:33.335017,nan,nan,65535,65535,23
2025-07-05 16:44:38.366376,nan,nan,65535,65535,23
2025-07-05 16:44:43.399745,nan,nan,65535,65535,23
2025-07-05 16:44:48.453488,nan,nan,65535,65535,23
2025-07-05 16:44:53.485377,nan,nan,65535,65535,23
2025-07-05 16:44:58.516777,nan,nan,65535,65535,23
2025-07-05 16:45:03.546566,nan,nan,65535,65535,23
2025-07-05 16:45:08.579547,nan,nan,65535,65535,23
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 16:45:59.890675,nan,nan,771,275,1
2025-07-05 16:46:04.922784,nan,nan,768,273,1
2025-07-05 16:46:09.954817,nan,nan,44,266,1
2025-07-05 16:46:15.051118,nan,nan,770,155,1
2025-07-05 16:46:20.082662,nan,nan,766,155,1
2025-07-05 16:46:25.121669,nan,nan,770,253,1
2025-07-05 16:46:30.171612,nan,nan,770,100,1
2025-07-05 16:46:35.203718,nan,nan,771,0,1
2025-07-05 16:46:40.234634,nan,nan,770,656,1
2025-07-05 16:46:45.264601,nan,nan,771,652,1
2025-07-05 16:46:50.321747,nan,nan,771,465,1
2025-07-05 16:46:55.352694,nan,nan,769,367,1
2025-07-05 16:47:00.382862,nan,nan,769,341,1
2025-07-05 16:47:05.412248,nan,nan,769,343,1
2025-07-05 16:47:10.439839,nan,nan,769,344,1
2025-07-05 16:47:15.487732,nan,nan,771,366,1
2025-07-05 16:47:20.520766,nan,nan,768,337,1
2025-07-05 16:47:25.552020,nan,nan,769,335,1
2025-07-05 16:47:30.585498,-1,-1,769,334,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 16:49:15.243222,nan,nan,768,91,1
2025-07-05 16:49:20.276708,nan,nan,768,57,1
2025-07-05 16:49:25.310271,nan,nan,769,59,1
2025-07-05 16:49:30.360336,nan,nan,769,57,1
2025-07-05 16:49:35.394177,nan,nan,768,60,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 16:59:46.654955,nan,nan,65535,65535,23
2025-07-05 16:59:51.707632,nan,nan,65535,65535,23
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 17:00:03.491485,nan,nan,768,110,1
2025-07-05 17:00:08.524629,nan,nan,769,63,1
2025-07-05 17:00:13.557350,nan,nan,769,63,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-07-05 17:00:23.341354,nan,nan,768,109,1
2025-07-05 17:00:28.373439,nan,nan,767,63,1
2025-07-05 17:00:33.406088,nan,nan,766,483,1
2025-07-05 17:00:38.459275,nan,nan,769,63,1
